GEOID,Total_Population,Median_Household_Income,Pct_White,Pct_Black,Pct_Hispanic,Pct_Poverty,Pct_Bachelors_Plus
060371134231,1444.0,168542.0,44.6,0.0,65.72,1.04,27.93
060371134232,1401.0,59583.0,28.41,4.85,51.75,18.06,36.14
060371134241,1867.0,105147.0,32.51,2.95,54.95,11.89,24.63
060371134242,1266.0,160182.0,41.0,3.55,39.81,0.87,46.21
060371134251,1396.0,76905.0,17.62,13.61,55.23,7.09,8.1
060371134252,2858.0,59461.0,29.01,3.95,65.89,10.15,25.31
060371134261,2302.0,77070.0,29.63,1.22,45.0,16.72,34.39
060371134271,1562.0,64355.0,19.21,9.35,57.62,6.62,23.42
060371134272,824.0,39250.0,35.19,4.73,56.55,33.74,8.93
060371134281,1005.0,107455.0,35.22,1.39,32.84,2.79,50.87
060371134282,1250.0,134682.0,51.76,3.84,36.0,14.73,28.67
060371151011,1510.0,172321.0,55.56,0.73,17.22,8.08,64.15
060371151012,2312.0,139375.0,53.63,1.25,21.97,10.48,62.08
060371151013,1212.0,126845.0,70.21,0.0,15.26,6.19,38.0
060371151041,844.0,161406.0,66.94,0.0,4.5,9.86,49.65
060371151042,1145.0,93750.0,29.96,15.72,29.26,20.44,72.53
060371151044,1211.0,63000.0,17.09,17.01,32.29,25.19,62.48
060371152021,1971.0,77401.0,32.47,10.65,40.39,39.58,44.41
060371152022,2610.0,73438.0,33.95,3.6,45.29,17.51,34.99
060371152023,1453.0,55026.0,28.91,4.27,46.32,17.76,35.03
060371152031,1484.0,76466.0,40.36,2.9,37.87,17.72,42.81
060371152041,1966.0,111844.0,32.45,15.21,40.54,8.57,43.01
060371152042,1987.0,70526.0,42.88,17.41,22.24,12.73,40.37
060371153011,1150.0,95854.0,59.74,3.74,11.83,19.01,60.92
060371153012,1397.0,80550.0,15.25,1.86,20.97,8.17,23.79
060371153013,991.0,201107.0,57.21,0.0,34.41,4.09,48.04
060371153014,900.0,90043.0,49.44,3.67,36.0,1.78,25.93
060371153021,1094.0,70517.0,10.6,4.75,91.41,25.41,13.34
060371153022,1397.0,42411.0,4.51,1.65,93.06,24.91,7.82
060371153023,1348.0,121106.0,29.75,2.3,45.85,5.27,20.5
060371154011,1491.0,53036.0,21.46,13.88,51.78,32.47,32.62
060371154012,762.0,51285.0,33.6,3.15,69.82,18.24,17.87
060371154013,1975.0,71599.0,50.08,4.2,21.92,13.77,19.62
060371154014,1409.0,81557.0,47.2,8.45,41.09,3.41,23.28
060371154031,1333.0,66750.0,30.46,6.08,43.81,16.88,34.58
060371154032,2046.0,72357.0,22.78,4.2,62.81,35.04,47.52
060371154041,1247.0,128393.0,29.51,9.14,42.5,7.85,38.05
