time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index,latitude,longitude
1686265200,33.0,88.0,1001.66,5.0,5.0,7.5,1680,34.09655,-117.97032
1686243600,44.0,78.0,1003.36,11.1,11.1,15.7,1680,34.09655,-117.97032
1687330800,45.0,76.0,1001.72,3.5,3.5,5.3,1680,34.09655,-117.97032
1687384800,27.0,95.0,999.8,4.2,4.2,6.9,1680,34.09655,-117.97032
1674198000,53.0,58.0,1004.95,8.5,8.5,13.9,1680,34.09655,-117.97032
1674255600,30.0,74.0,1008.17,5.5,5.5,8.0,1680,34.09655,-117.97032
1674244800,35.0,72.0,1008.58,2.0,2.0,3.3,1680,34.09655,-117.97032
1679414400,65.0,59.0,992.37,0.2,0.2,0.5,1680,34.09655,-117.97032
1679407200,59.0,59.0,993.46,0.1,0.1,0.1,1680,34.09655,-117.97032
1681675200,34.0,83.0,1004.77,19.1,19.1,26.4,1680,34.09655,-117.97032
1681617600,46.0,69.0,1006.07,4.6,4.6,6.7,1680,34.09655,-117.97032
1674424800,28.0,77.0,998.31,9.0,9.0,12.7,1680,34.09655,-117.97032
1684335600,54.0,74.0,999.98,23.4,24.0,31.9,1680,34.09655,-117.97032
1682416800,53.0,71.0,998.44,20.9,21.0,28.9,1680,34.09655,-117.97032
1682449200,40.0,80.0,999.38,12.6,12.6,18.0,1680,34.09655,-117.97032
1683691200,45.0,69.0,1001.48,1.6,1.6,2.7,1680,34.09655,-117.97032
1683752400,34.0,80.0,1002.89,3.3,3.3,5.1,1680,34.09655,-117.97032
1683716400,52.0,67.0,1001.66,2.1,2.1,3.5,1680,34.09655,-117.97032
1682470800,41.0,80.0,998.21,9.5,9.5,13.6,1680,34.09655,-117.97032
1677549600,60.0,61.0,1005.3,4.4,4.4,6.4,1680,34.09655,-117.97032
1676721600,33.0,55.0,1001.69,7.3,7.3,10.3,1680,34.09655,-117.97032
1676703600,27.0,61.0,1002.55,10.8,13.8,18.5,1680,34.09655,-117.97032
1676340000,45.0,67.0,1000.73,2.4,2.4,3.7,1680,34.09655,-117.97032
1674666000,32.0,67.0,1012.26,9.0,9.0,12.3,1680,34.09655,-117.97032
1674676800,16.0,82.0,1009.94,3.7,3.7,5.5,1680,34.09655,-117.97032
1675274400,18.0,73.0,1007.94,3.2,3.2,4.8,1680,34.09655,-117.97032
1677380400,58.0,54.0,1001.03,1.8,1.8,2.9,1680,34.09655,-117.97032
1677412800,57.0,52.0,1003.82,1.0,1.0,1.8,1680,34.09655,-117.97032
1677387600,61.0,53.0,1001.88,0.1,0.1,0.2,1680,34.09655,-117.97032
1681891200,48.0,64.0,1002.48,5.0,5.0,7.3,1680,34.09655,-117.97032
1675605600,58.0,61.0,1008.81,14.4,14.4,19.9,1680,34.09655,-117.97032
1675558800,23.0,77.0,1006.12,10.1,10.1,13.7,1680,34.09655,-117.97032
1679508000,49.0,65.0,1004.62,0.5,0.5,1.0,1680,34.09655,-117.97032
1679461200,61.0,61.0,995.89,2.1,2.1,3.2,1680,34.09655,-117.97032
1684033200,50.0,76.0,996.89,13.3,13.3,18.9,1680,34.09655,-117.97032
1684076400,56.0,73.0,1000.26,16.5,16.5,22.7,1680,34.09655,-117.97032
1681599600,30.0,85.0,1004.01,6.4,6.4,9.3,1680,34.09655,-117.97032
1681574400,46.0,71.0,1006.22,17.0,17.0,23.6,1680,34.09655,-117.97032
1674046800,53.0,52.0,1006.32,3.2,3.2,5.0,1680,34.09655,-117.97032
1683403200,28.0,83.0,1004.88,2.5,2.5,3.9,1680,34.09655,-117.97032
1683374400,52.0,61.0,1004.18,1.8,1.8,2.9,1680,34.09655,-117.97032
1673456400,59.0,60.0,1011.72,4.0,4.0,5.9,1680,34.09655,-117.97032
1673427600,60.0,59.0,1008.12,3.3,3.3,5.4,1680,34.09655,-117.97032
1682578800,52.0,71.0,1000.72,26.4,28.1,37.6,1680,34.09655,-117.97032
1682582400,54.0,70.0,1000.66,26.8,28.6,38.2,1680,34.09655,-117.97032
1681016400,52.0,69.0,1005.43,3.0,3.0,4.5,1680,34.09655,-117.97032
1681027200,53.0,67.0,1005.48,10.4,10.4,14.7,1680,34.09655,-117.97032
1682913600,54.0,70.0,998.43,6.3,6.3,9.2,1680,34.09655,-117.97032
1680393600,22.0,81.0,1004.46,1.3,1.3,2.2,1680,34.09655,-117.97032
1674316800,42.0,61.0,1012.77,6.8,6.8,9.8,1680,34.09655,-117.97032
1686024000,45.0,71.0,999.17,4.7,4.7,6.9,1680,34.09655,-117.97032
1686088800,31.0,85.0,998.39,4.6,4.6,7.0,1680,34.09655,-117.97032
1686013200,42.0,76.0,997.55,5.5,5.5,8.1,1680,34.09655,-117.97032
1676030400,18.0,66.0,1006.63,0.6,0.6,1.2,1680,34.09655,-117.97032
1676041200,17.0,70.0,1007.19,0.4,0.4,0.8,1680,34.09655,-117.97032
1675990800,17.0,85.0,1006.83,2.4,2.4,3.7,1680,34.09655,-117.97032
1675987200,13.0,90.0,1006.6,1.2,1.2,2.2,1680,34.09655,-117.97032
1675994400,22.0,79.0,1007.57,7.1,7.3,10.0,1680,34.09655,-117.97032
1675548000,18.0,86.0,1005.44,21.7,22.1,29.9,1680,34.09655,-117.97032
1675490400,41.0,62.0,1007.67,18.4,18.4,24.5,1680,34.09655,-117.97032
1680692400,41.0,58.0,1005.6,5.1,5.2,9.9,1680,34.09655,-117.97032
1680660000,28.0,68.0,1004.5,0.5,0.5,0.9,1680,34.09655,-117.97032
1687644000,25.0,95.0,1001.77,4.8,4.8,7.9,1680,34.09655,-117.97032
1687618800,47.0,74.0,1003.79,8.4,8.4,12.4,1680,34.09655,-117.97032
1680739200,20.0,78.0,1003.26,6.9,6.9,10.0,1680,34.09655,-117.97032
1680753600,31.0,68.0,1004.15,5.1,5.1,7.4,1680,34.09655,-117.97032
1675339200,42.0,53.0,1010.56,8.1,8.1,11.6,1680,34.09655,-117.97032
1675364400,18.0,78.0,1013.09,4.4,4.4,6.6,1680,34.09655,-117.97032
1682038800,18.0,88.0,1004.32,3.9,3.9,5.8,1680,34.09655,-117.97032
1678014000,52.0,59.0,1004.02,17.8,17.8,24.7,1680,34.09655,-117.97032
1678046400,44.0,68.0,1005.92,4.9,4.9,7.4,1680,34.09655,-117.97032
1685167200,48.0,71.0,1001.38,3.3,3.3,5.1,1680,34.09655,-117.97032
1684918800,58.0,71.0,999.64,5.6,5.6,8.2,1680,34.09655,-117.97032
1684969200,36.0,84.0,998.82,7.3,7.3,10.8,1680,34.09655,-117.97032
1685840400,38.0,84.0,997.98,7.7,7.7,11.3,1680,34.09655,-117.97032
1685898000,50.0,76.0,998.89,20.3,20.4,28.3,1680,34.09655,-117.97032
1684839600,60.0,71.0,1000.3,1.2,1.2,2.1,1680,34.09655,-117.97032
1684800000,39.0,87.0,998.28,13.1,13.1,18.4,1680,34.09655,-117.97032
